input_text,output_text
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_hindi> यह बुरा है,<to_english> this is bad
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> मैं उदास हूँ,<to_english> i am sad
<from_magahi> हम चाय पसंद करीं,<to_english> i love tea
<from_magahi> ऊ घर जा रहल बा,<to_hindi> वह घर जा रहा है
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_english> we are friends,<to_magahi> हमनी दोस्त बानी
<from_english> she is studying,<to_magahi> ऊ पढ़ रहल बिया
<from_magahi> ई बढ़िया बा,<to_english> this is good
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_magahi> ऊ घर जा रहल बा,<to_hindi> वह घर जा रहा है
<from_hindi> मैं एआई सीख रहा हूँ,<to_english> i am learning ai
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_english> i love machine learning
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_hindi> मैं उदास हूँ,<to_english> i am sad
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_magahi> हम चाय पसंद करीं,<to_hindi> मुझे चाय पसंद है
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_magahi> ऊ पढ़ रहल बिया,<to_hindi> वह पढ़ रही है
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_magahi> हम चाय पसंद करीं,<to_hindi> मुझे चाय पसंद है
<from_magahi> हमनी दोस्त बानी,<to_english> we are friends
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> हम कॉफी पसंद करीं,<to_hindi> मुझे कॉफी पसंद है
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_english> i am learning ai,<to_magahi> हम एआई सीख रहल बानी
<from_english> i am happy,<to_magahi> हम खुश बानी
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_hindi> यह बुरा है,<to_english> this is bad
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_english> this is good,<to_magahi> ई बढ़िया बा
<from_english> i love machine learning,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_english> i love machine learning
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> we are friends,<to_magahi> हमनी दोस्त बानी
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_magahi> हम उदास बानी,<to_hindi> मैं उदास हूँ
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_english> we are friends,<to_magahi> हमनी दोस्त बानी
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_hindi> यह अच्छा है,<to_english> this is good
<from_english> this is bad,<to_magahi> ई खराब बा
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> ऊ पढ़ रहल बिया,<to_hindi> वह पढ़ रही है
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_english> we are friends,<to_magahi> हमनी दोस्त बानी
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_magahi> ई खराब बा,<to_english> this is bad
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_magahi> हम खुश बानी,<to_hindi> मैं खुश हूँ
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> यह अच्छा है,<to_english> this is good
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_hindi> मुझे मशीन लर्निंग पसंद है,<to_english> i love machine learning
<from_english> this is good,<to_hindi> यह अच्छा है
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_hindi> वे खेल रहे हैं,<to_english> they are playing
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_english> i love machine learning
<from_english> i am learning ai,<to_magahi> हम एआई सीख रहल बानी
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_english> i am sad,<to_hindi> मैं उदास हूँ
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_magahi> हम चाय पसंद करीं,<to_hindi> मुझे चाय पसंद है
<from_hindi> मुझे मशीन लर्निंग पसंद है,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_magahi> हम खुश बानी,<to_hindi> मैं खुश हूँ
<from_english> this is bad,<to_magahi> ई खराब बा
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_english> she is studying,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_magahi> ई खराब बा,<to_english> this is bad
<from_english> this is bad,<to_hindi> यह बुरा है
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_english> i love machine learning,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> यह अच्छा है,<to_english> this is good
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_magahi> ऊ घर जा रहल बा,<to_hindi> वह घर जा रहा है
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_magahi> हमनी दोस्त बानी,<to_english> we are friends
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_magahi> हम एआई सीख रहल बानी,<to_english> i am learning ai
<from_hindi> वे खेल रहे हैं,<to_english> they are playing
<from_magahi> हम उदास बानी,<to_hindi> मैं उदास हूँ
<from_magahi> हमनी दोस्त बानी,<to_hindi> हम दोस्त हैं
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_english> she is studying,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> यह अच्छा है,<to_english> this is good
<from_english> this is good,<to_magahi> ई बढ़िया बा
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> मैं उदास हूँ,<to_magahi> हम उदास बानी
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_hindi> वे खेल रहे हैं,<to_english> they are playing
<from_english> this is bad,<to_magahi> ई खराब बा
<from_magahi> हमनी दोस्त बानी,<to_english> we are friends
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_magahi> हम उदास बानी,<to_hindi> मैं उदास हूँ
<from_english> this is bad,<to_magahi> ई खराब बा
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> ई बढ़िया बा,<to_english> this is good
<from_english> i am learning ai,<to_magahi> हम एआई सीख रहल बानी
<from_english> i am learning ai,<to_hindi> मैं एआई सीख रहा हूँ
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> यह बुरा है,<to_english> this is bad
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_magahi> हम चाय पसंद करीं,<to_english> i love tea
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_english> i love machine learning,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_magahi> हम खुश बानी,<to_hindi> मैं खुश हूँ
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_english> they are playing,<to_magahi> ऊ सब खेल रहल बाड़े
<from_magahi> हमनी दोस्त बानी,<to_hindi> हम दोस्त हैं
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_magahi> ऊ पढ़ रहल बिया,<to_hindi> वह पढ़ रही है
<from_hindi> मैं उदास हूँ,<to_english> i am sad
<from_english> this is good,<to_magahi> ई बढ़िया बा
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_hindi> वे खेल रहे हैं,<to_english> they are playing
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_magahi> ई बढ़िया बा,<to_english> this is good
<from_hindi> मैं एआई सीख रहा हूँ,<to_english> i am learning ai
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_english> i love machine learning
<from_english> this is good,<to_hindi> यह अच्छा है
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> i am happy,<to_magahi> हम खुश बानी
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_magahi> ई खराब बा,<to_english> this is bad
<from_english> i am happy,<to_magahi> हम खुश बानी
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_english> she is studying,<to_magahi> ऊ पढ़ रहल बिया
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_english> this is bad,<to_hindi> यह बुरा है
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_magahi> ऊ घर जा रहल बा,<to_english> he is going home
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_magahi> ऊ घर जा रहल बा,<to_hindi> वह घर जा रहा है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_english> this is good,<to_magahi> ई बढ़िया बा
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> हम दोस्त हैं,<to_english> we are friends
<from_magahi> हम उदास बानी,<to_hindi> मैं उदास हूँ
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_english> i am sad,<to_hindi> मैं उदास हूँ
<from_magahi> हमनी दोस्त बानी,<to_english> we are friends
<from_magahi> हम कॉफी पसंद करीं,<to_hindi> मुझे कॉफी पसंद है
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> i love machine learning,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_magahi> हम चाय पसंद करीं,<to_english> i love tea
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_english> i am learning ai,<to_hindi> मैं एआई सीख रहा हूँ
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_magahi> हमनी दोस्त बानी,<to_hindi> हम दोस्त हैं
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_english> they are playing,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_magahi> हम चाय पसंद करीं,<to_english> i love tea
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_hindi> वे खेल रहे हैं,<to_magahi> ऊ सब खेल रहल बाड़े
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> ऊ पढ़ रहल बिया,<to_hindi> वह पढ़ रही है
<from_magahi> ई खराब बा,<to_english> this is bad
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_english> i love machine learning,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_hindi> मुझे कॉफी पसंद है,<to_magahi> हम कॉफी पसंद करीं
<from_english> this is bad,<to_hindi> यह बुरा है
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_magahi> ऊ घर जा रहल बा,<to_english> he is going home
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_magahi> ऊ घर जा रहल बा,<to_english> he is going home
<from_magahi> हमनी दोस्त बानी,<to_hindi> हम दोस्त हैं
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> ऊ घर जा रहल बा,<to_hindi> वह घर जा रहा है
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_hindi> यह अच्छा है,<to_english> this is good
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_english> this is bad,<to_hindi> यह बुरा है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_english> i am happy,<to_magahi> हम खुश बानी
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_magahi> ऊ घर जा रहल बा,<to_english> he is going home
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_hindi> मैं खुश हूँ,<to_magahi> हम खुश बानी
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_english> this is good,<to_hindi> यह अच्छा है
<from_english> i am sad,<to_magahi> हम उदास बानी
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_magahi> हम कॉफी पसंद करीं,<to_hindi> मुझे कॉफी पसंद है
<from_english> i am learning ai,<to_hindi> मैं एआई सीख रहा हूँ
<from_english> i am learning ai,<to_magahi> हम एआई सीख रहल बानी
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_hindi> मुझे मशीन लर्निंग पसंद है,<to_english> i love machine learning
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_hindi> हम दोस्त हैं,<to_english> we are friends
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_english> this is bad,<to_hindi> यह बुरा है
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_magahi> हम उदास बानी,<to_hindi> मैं उदास हूँ
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_english> this is good,<to_magahi> ई बढ़िया बा
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_hindi> वह घर जा रहा है,<to_english> he is going home
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_magahi> हम कॉफी पसंद करीं,<to_hindi> मुझे कॉफी पसंद है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_hindi> वे खेल रहे हैं
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> मुझे चाय पसंद है,<to_english> i love tea
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_english> this is bad,<to_hindi> यह बुरा है
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_magahi> हम कॉफी पसंद करीं,<to_hindi> मुझे कॉफी पसंद है
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> हम दोस्त हैं,<to_english> we are friends
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_english> i am sad,<to_hindi> मैं उदास हूँ
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> यह अच्छा है,<to_english> this is good
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_english> i am learning ai,<to_magahi> हम एआई सीख रहल बानी
<from_hindi> हम दोस्त हैं,<to_english> we are friends
<from_english> this is good,<to_hindi> यह अच्छा है
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_english> this is good,<to_hindi> यह अच्छा है
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_hindi> मुझे मशीन लर्निंग पसंद है,<to_english> i love machine learning
<from_hindi> मैं उदास हूँ,<to_english> i am sad
<from_english> this is bad,<to_magahi> ई खराब बा
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_magahi> ऊ सब खेल रहल बाड़े,<to_english> they are playing
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_magahi> हम चाय पसंद करीं,<to_hindi> मुझे चाय पसंद है
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_hindi> यह अच्छा है,<to_english> this is good
<from_english> this is bad,<to_magahi> ई खराब बा
<from_magahi> ई खराब बा,<to_english> this is bad
<from_english> she is studying,<to_hindi> वह पढ़ रही है
<from_english> i love coffee,<to_magahi> हम कॉफी पसंद करीं
<from_magahi> हम एआई सीख रहल बानी,<to_english> i am learning ai
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_magahi> ऊ पढ़ रहल बिया,<to_hindi> वह पढ़ रही है
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
<from_english> this is bad,<to_hindi> यह बुरा है
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_english> this is bad,<to_magahi> ई खराब बा
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_hindi> वह पढ़ रही है,<to_english> she is studying
<from_english> he is going home,<to_magahi> ऊ घर जा रहल बा
<from_english> i am happy,<to_magahi> हम खुश बानी
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_hindi> मैं एआई सीख रहा हूँ,<to_english> i am learning ai
<from_magahi> ऊ पढ़ रहल बिया,<to_english> she is studying
<from_english> i love tea,<to_hindi> मुझे चाय पसंद है
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_hindi> मैं उदास हूँ,<to_magahi> हम उदास बानी
<from_magahi> हमनी दोस्त बानी,<to_english> we are friends
<from_hindi> यह अच्छा है,<to_english> this is good
<from_english> i am sad,<to_hindi> मैं उदास हूँ
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_english> this is bad,<to_magahi> ई खराब बा
<from_english> this is bad,<to_hindi> यह बुरा है
<from_magahi> हम चाय पसंद करीं,<to_hindi> मुझे चाय पसंद है
<from_english> this is bad,<to_magahi> ई खराब बा
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> this is bad,<to_hindi> यह बुरा है
<from_english> i love coffee,<to_hindi> मुझे कॉफी पसंद है
<from_hindi> यह बुरा है,<to_english> this is bad
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_hindi> वे खेल रहे हैं,<to_english> they are playing
<from_magahi> ऊ घर जा रहल बा,<to_english> he is going home
<from_english> i love machine learning,<to_magahi> हम मशीन लर्निंग पसंद करीं
<from_hindi> मैं उदास हूँ,<to_magahi> हम उदास बानी
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_english> they are playing,<to_hindi> वे खेल रहे हैं
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_english> i am learning ai,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_english> i am happy,<to_hindi> मैं खुश हूँ
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_english> we are friends,<to_hindi> हम दोस्त हैं
<from_english> this is bad,<to_hindi> यह बुरा है
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_magahi> हम मशीन लर्निंग पसंद करीं,<to_hindi> मुझे मशीन लर्निंग पसंद है
